event_definition,coding_system,code,code_name,concept,concept_name,tags,system,event_abbreviation,type,code_original
end_of_pregnancy,ICD9CM,642.53,,C0156672,"Severe pre-eclampsia, antepartum condition or complication",,,,,642.53
end_of_pregnancy,ICD9CM,642.54,,C0156673,"Severe pre-eclampsia, postpartum condition or complication",,,,,642.54
end_of_pregnancy,ICD9CM,642.6,,C0156674,"Eclampsia, unspecified as to episode of care or not applicable",,,,,642.6
end_of_pregnancy,ICD9CM,642.62,,C0156676,"Eclampsia, delivered, with mention of postpartum complication",,,,,642.62
end_of_pregnancy,ICD9CM,642.63,,C0156677,Eclampsia in pregnancy,,,,,642.63
end_of_pregnancy,ICD9CM,642.64,,C0156678,Eclampsia in puerperium,,,,,642.64
end_of_pregnancy,ICD9CM,"6,43E+16",,C0156679,Pre-eclampsia or eclampsia superimposed on pre-existing hypertension,,,,,64.270.000.000.000.000
end_of_pregnancy,ICD9CM,"6,43E+16",,C0156680,"Pre-eclampsia or eclampsia superimposed on pre-existing hypertension, unspecified as to episode of care or not applicable",,,,,64.270.000.000.000.000
end_of_pregnancy,ICD9CM,642.71,,C0156681,"Pre-eclampsia or eclampsia superimposed on pre-existing hypertension, delivered, with or without mention of antepartum condition",,,,,642.71
end_of_pregnancy,ICD9CM,642.72,,C0156682,"Pre-eclampsia or eclampsia superimposed on pre-existing hypertension, delivered, with mention of postpartum complication",,,,,642.72
end_of_pregnancy,ICD9CM,642.73,,C0156683,"Pre-eclampsia or eclampsia superimposed on pre-existing hypertension, antepartum condition or complication",,,,,642.73
end_of_pregnancy,ICD9CM,642.74,,C0156684,"Pre-eclampsia or eclampsia superimposed on pre-existing hypertension, postpartum condition or complication",,,,,642.74
end_of_pregnancy,ICD9CM,642.9,,C0156686,"Unspecified hypertension complicating pregnancy, childbirth, or the puerperium, unspecified as to episode of care or not applicable",,,,,642.9
end_of_pregnancy,ICD9CM,642.91,,C0156687,"Unspecified hypertension complicating pregnancy, childbirth, or the puerperium, delivered, with or without mention of antepartum condition",,,,,642.91
end_of_pregnancy,ICD9CM,"6,43E+16",,C0156688,"Unspecified hypertension complicating pregnancy, childbirth, or the puerperium, delivered, with mention of postpartum complication",,,,,64.291.999.999.999.900
end_of_pregnancy,ICD9CM,"6,43E+16",,C0156689,Unspecified antepartum hypertension,,,,,64.292.999.999.999.900
end_of_pregnancy,ICD9CM,"6,43E+16",,C0156690,Unspecified postpartum hypertension,,,,,64.294.000.000.000.000
end_of_pregnancy,ICD9CM,643.11,,C0156697,Hyperemesis gravidarum with metabolic disturbance - delivered,,,,,643.11
end_of_pregnancy,ICD9CM,643.13,,C0156698,"Hyperemesis gravidarum with metabolic disturbance, antepartum",,,,,643.13
end_of_pregnancy,ICD9CM,643.23,,C0156702,"Late vomiting of pregnancy, antepartum",,,,,643.23
end_of_pregnancy,ICD9CM,"6,44E+16",,C0156706,"Other vomiting complicating pregnancy, antepartum condition or complication",,,,,64.383.000.000.000.000
end_of_pregnancy,ICD9CM,"6,44E+16",,C0156710,"Unspecified vomiting of pregnancy, antepartum",,,,,64.392.999.999.999.900
end_of_pregnancy,ICD9CM,644.03,,C0156714,"Threatened premature labour, antepartum",,,,,644.03
end_of_pregnancy,ICD9CM,644.13,,C0156717,"Other threatened labor, antepartum condition or complication",,,,,644.13
end_of_pregnancy,ICD9CM,644.21,,C0156719,"Early onset of delivery, delivered, with or without mention of antepartum condition",,,,,644.21
end_of_pregnancy,ICD9CM,646.01,,C0156726,"Papyraceous fetus, delivered, with or without mention of antepartum condition",,,,,646.01
end_of_pregnancy,ICD9CM,646.03,,C0156727,"Papyraceous foetus, antepartum",,,,,646.03
end_of_pregnancy,ICD9CM,646.14,,C0156733,"Edema or excessive weight gain in pregnancy, without mention of hypertension, postpartum condition or complication",,,,,646.14
end_of_pregnancy,ICD9CM,646.21,,C0156736,"Unspecified renal disease in pregnancy, with delivery",,,,,646.21
end_of_pregnancy,ICD9CM,646.22,,C0156737,"Unspecified renal disease in pregnancy, without mention of hypertension, delivered, with mention of postpartum complication",,,,,646.22
end_of_pregnancy,ICD9CM,646.24,,C0156739,Unspecified postpartum renal disease,,,,,646.24
end_of_pregnancy,ICD9CM,646.41,,C0156746,"Peripheral neuritis in pregnancy, with delivery",,,,,646.41
end_of_pregnancy,ICD9CM,"6,46E+16",,C0156747,"Peripheral neuritis in pregnancy, delivered, with mention of postpartum complication",,,,,64.641.999.999.999.900
end_of_pregnancy,ICD9CM,"6,46E+16",,C0156749,Peripheral neuritis postpartum,,,,,64.644.000.000.000.000
end_of_pregnancy,ICD9CM,646.52,,C0156753,"Asymptomatic bacteriuria in pregnancy, delivered, with mention of postpartum complication",,,,,646.52
end_of_pregnancy,ICD9CM,646.54,,C0156755,Asymptomatic bacteriuria postpartum,,,,,646.54
end_of_pregnancy,ICD9CM,646.62,,C0156759,"Infections of genitourinary tract in pregnancy, delivered, with mention of postpartum complication",,,,,646.62
end_of_pregnancy,ICD9CM,646.64,,C0156761,"Infections of genitourinary tract in pregnancy, postpartum condition or complication",,,,,646.64
end_of_pregnancy,ICD9CM,647,,C0156776,"Syphilis of mother, complicating pregnancy, childbirth, or the puerperium, unspecified as to episode of care or not applicable",,,,,647
end_of_pregnancy,ICD9CM,647.01,,C0156777,"Syphilis of mother, complicating pregnancy, with delivery",,,,,647.01
end_of_pregnancy,ICD9CM,647.02,,C0156778,"Syphilis of mother, complicating pregnancy, childbirth, or the puerperium, delivered, with mention of postpartum complication",,,,,647.02
end_of_pregnancy,ICD9CM,647.04,,C0156780,"Syphilis, postpartum",,,,,647.04
end_of_pregnancy,ICD9CM,647.1,,C0156782,"Gonorrhea of mother, complicating pregnancy, childbirth, or the puerperium, unspecified as to episode of care or not applicable",,,,,647.1
end_of_pregnancy,ICD9CM,647.11,,C0156783,"Gonorrhea of mother, complicating pregnancy, childbirth, or the puerperium, delivered, with or without mention of antepartum condition",,,,,647.11
end_of_pregnancy,ICD9CM,647.12,,C0156784,"Gonorrhea of mother, complicating pregnancy, childbirth, or the puerperium, delivered, with mention of postpartum complication",,,,,647.12
end_of_pregnancy,ICD9CM,647.14,,C0156786,"Gonorrhea, postpartum",,,,,647.14
end_of_pregnancy,ICD9CM,"6,47E+16",,C0156788,"Other venereal diseases of mother, complicating pregnancy, childbirth, or the puerperium, unspecified as to episode of care or not applicable",,,,,64.720.000.000.000.000
end_of_pregnancy,ICD9CM,"6,47E+16",,C0156794,"Tuberculosis of mother, complicating pregnancy, childbirth, or the puerperium, unspecified as to episode of care or not applicable",,,,,64.729.999.999.999.900
end_of_pregnancy,ICD9CM,"6,47E+16",,C0156795,"Tuberculosis of mother, complicating pregnancy, childbirth, or the puerperium, delivered, with or without mention of antepartum condition",,,,,64.730.999.999.999.900
end_of_pregnancy,ICD9CM,"6,47E+16",,C0156796,"Tuberculosis of mother, complicating pregnancy, childbirth, or the puerperium, delivered, with mention of postpartum complication",,,,,64.732.000.000.000.000
end_of_pregnancy,ICD9CM,647.34,,C0156798,"Tuberculosis, postpartum",,,,,647.34
end_of_pregnancy,ICD9CM,"6,47E+16",,C0156802,"Malaria in the mother, delivered, with mention of postpartum complication",,,,,64.741.999.999.999.900
end_of_pregnancy,ICD9CM,647.52,,C0156808,"Rubella in the mother, delivered, with mention of postpartum complication",,,,,647.52
end_of_pregnancy,ICD9CM,647.54,,C0156810,"Rubella, postpartum",,,,,647.54
end_of_pregnancy,ICD9CM,647.61,,C0156813,"Other viral diseases in the mother, delivered, with or without mention of antepartum condition",,,,,647.61
end_of_pregnancy,ICD9CM,647.62,,C0156814,"Other viral diseases in the mother, delivered, with mention of postpartum complication",,,,,647.62
end_of_pregnancy,ICD9CM,647.63,,C0156815,"Other viral diseases in the mother, antepartum condition or complication",,,,,647.63
end_of_pregnancy,ICD9CM,647.64,,C0156816,"Other viral diseases in the mother, postpartum condition or complication",,,,,647.64
end_of_pregnancy,ICD9CM,"6,48E+16",,C0156819,"Other specified infectious and parasitic diseases of mother, delivered, with or without mention of antepartum condition",,,,,64.780.999.999.999.900
end_of_pregnancy,ICD9CM,"6,48E+16",,C0156820,"Other specified infectious and parasitic diseases of mother, delivered, with mention of postpartum complication",,,,,64.782.000.000.000.000
end_of_pregnancy,ICD9CM,"6,48E+16",,C0156821,"Other specified infectious and parasitic diseases of mother, antepartum condition or complication",,,,,64.783.000.000.000.000
end_of_pregnancy,ICD9CM,647.84,,C0156822,"Other specified infectious and parasitic diseases of mother, postpartum condition or complication",,,,,647.84
end_of_pregnancy,ICD9CM,647.9,,C0156823,"Unspecified infection or infestation complicating pregnancy, childbirth, or the puerperium",,,,,647.9
end_of_pregnancy,ICD9CM,647.91,,C0156825,"Unspecified infection or infestation of mother, delivered, with or without mention of antepartum condition",,,,,647.91
end_of_pregnancy,ICD9CM,"6,48E+16",,C0156826,"Unspecified infection or infestation of mother, delivered, with mention of postpartum complication",,,,,64.791.999.999.999.900
end_of_pregnancy,ICD9CM,"6,48E+16",,C0156827,"Unspecified infection or infestation of mother, antepartum condition or complication",,,,,64.792.999.999.999.900
end_of_pregnancy,ICD9CM,"6,48E+16",,C0156828,"Unspecified infection or infestation of mother, postpartum condition or complication",,,,,64.794.000.000.000.000
end_of_pregnancy,ICD9CM,648.11,,C0156838,"Thyroid dysfunction of mother, delivered, with or without mention of antepartum condition",,,,,648.11
end_of_pregnancy,ICD9CM,648.12,,C0156839,"Thyroid dysfunction of mother, delivered, with mention of postpartum complication",,,,,648.12
end_of_pregnancy,ICD9CM,648.14,,C0156841,"Thyroid dysfunction, postpartum",,,,,648.14
end_of_pregnancy,ICD9CM,648.22,,C0156845,"Anemia of mother, delivered, with mention of postpartum complication",,,,,648.22
end_of_pregnancy,ICD9CM,"6,48E+16",,C0156851,"Drug dependence of mother, delivered, with mention of postpartum complication",,,,,64.832.000.000.000.000
end_of_pregnancy,ICD9CM,648.34,,C0156853,"Drug dependence, postpartum",,,,,648.34
end_of_pregnancy,ICD9CM,648.4,,C0156854,"Mental disorders complicating pregnancy, childbirth, or the puerperium",,,,,648.4
end_of_pregnancy,ICD9CM,"6,48E+16",,C0156857,"Mental disorders of mother, delivered, with mention of postpartum complication",,,,,64.841.999.999.999.900
end_of_pregnancy,ICD9CM,"6,48E+16",,C0156858,"Mental disorders of mother, antepartum",,,,,64.842.999.999.999.900
end_of_pregnancy,ICD9CM,"6,48E+16",,C0156859,"Mental disorders of mother, postpartum",,,,,64.844.000.000.000.000
end_of_pregnancy,ICD9CM,648.5,,C0156860,"Congenital cardiovascular disorders complicating pregnancy, childbirth, or the puerperium",,,,,648.5
end_of_pregnancy,ICD9CM,648.52,,C0156863,"Congenital cardiovascular disorders of mother, delivered, with mention of postpartum complication",,,,,648.52
end_of_pregnancy,ICD9CM,648.54,,C0156865,"Congenital cardiovascular disorders of mother, postpartum condition or complication",,,,,648.54
end_of_pregnancy,ICD9CM,648.6,,C0156866,"Other cardiovascular diseases complicating pregnancy, childbirth, or the puerperium",,,,,648.6
end_of_pregnancy,ICD9CM,648.62,,C0156869,"Other cardiovascular diseases of mother, delivered, with mention of postpartum complication",,,,,648.62
end_of_pregnancy,ICD9CM,648.64,,C0156871,"Other cardiovascular diseases of mother, postpartum condition or complication",,,,,648.64
end_of_pregnancy,ICD9CM,"6,49E+16",,C0156872,"Bone and joint disorders of back, pelvis, and lower limbs of mother, complicating pregnancy, childbirth, or the puerperium",,,,,64.870.000.000.000.000
end_of_pregnancy,ICD9CM,648.73,,C0156876,"Bone and joint disorders of back, pelvis, and lower limbs of mother, antepartum condition or complication",,,,,648.73
end_of_pregnancy,ICD9CM,648.74,,C0156877,"Bone and joint disorders of back, pelvis, and lower limbs of mother, postpartum condition or complication",,,,,648.74
end_of_pregnancy,ICD9CM,"6,49E+16",,C0156878,"Abnormal glucose tolerance in mother complicating pregnancy, childbirth AND/OR puerperium",,,,,64.879.999.999.999.900
end_of_pregnancy,ICD9CM,648.9,,C0156884,"Other current conditions complicating pregnancy, childbirth, or the puerperium",,,,,648.9
end_of_pregnancy,ICD9CM,"6,49E+16",,C0156887,"Other current conditions classifiable elsewhere of mother, delivered, with mention of postpartum complication",,,,,64.891.999.999.999.900
end_of_pregnancy,ICD9CM,"6,49E+16",,C0156889,"Other current conditions classifiable elsewhere of mother, postpartum condition or complication",,,,,64.894.000.000.000.000
end_of_pregnancy,ICD9CM,"6,51E+16",,C0156901,Twin pregnancy with foetal loss and retention of one foetus,,,,,65.129.999.999.999.900
end_of_pregnancy,ICD9CM,"6,51E+16",,C0156902,"Twin pregnancy with fetal loss and retention of one fetus, unspecified as to episode of care or not applicable",,,,,65.129.999.999.999.900
end_of_pregnancy,ICD9CM,"6,51E+16",,C0156903,"Twin pregnancy with fetal loss and retention of one fetus, delivered, with or without mention of antepartum condition",,,,,65.130.999.999.999.900
end_of_pregnancy,ICD9CM,"6,51E+16",,C0156904,"Twin pregnancy with fetal loss and retention of one fetus, antepartum condition or complication",,,,,65.133.000.000.000.000
end_of_pregnancy,ICD9CM,651.4,,C0156905,Triplet pregnancy with fetal loss and retention of one or more fetus(es),,,,,651.4
end_of_pregnancy,ICD9CM,651.4,,C0156906,"Triplet pregnancy with fetal loss and retention of one or more fetus(es), unspecified as to episode of care or not applicable",,,,,651.4
end_of_pregnancy,ICD9CM,651.41,,C0156907,"Triplet pregnancy with fetal loss and retention of one or more fetus(es), delivered, with or without mention of antepartum condition",,,,,651.41
end_of_pregnancy,ICD9CM,"6,51E+16",,C0156908,"Triplet pregnancy with fetal loss and retention of one or more fetus(es), antepartum condition or complication",,,,,65.142.999.999.999.900
end_of_pregnancy,ICD9CM,651.5,,C0156909,Quadruplet pregnancy with fetal loss and retention of one or more fetus(es),,,,,651.5
end_of_pregnancy,ICD9CM,651.5,,C0156910,"Quadruplet pregnancy with fetal loss and retention of one or more fetus(es), unspecified as to episode of care or not applicable",,,,,651.5
end_of_pregnancy,ICD9CM,651.51,,C0156911,"Quadruplet pregnancy with fetal loss and retention of one or more fetus(es), delivered, with or without mention of antepartum condition",,,,,651.51
end_of_pregnancy,ICD9CM,651.53,,C0156912,"Quadruplet pregnancy with fetal loss and retention of one or more fetus(es), antepartum condition or complication",,,,,651.53
end_of_pregnancy,ICD9CM,651.6,,C0156913,Other multiple pregnancy with fetal loss and retention of one or more fetus(es),,,,,651.6
end_of_pregnancy,ICD9CM,651.6,,C0156914,"Other multiple pregnancy with fetal loss and retention of one or more fetus(es), unspecified as to episode of care or not applicable",,,,,651.6
end_of_pregnancy,ICD9CM,651.61,,C0156915,"Other multiple pregnancy with fetal loss and retention of one or more fetus(es), delivered, with or without mention of antepartum condition",,,,,651.61
end_of_pregnancy,ICD9CM,651.63,,C0156916,"Other multiple pregnancy with fetal loss and retention of one or more fetus(es), antepartum condition or complication",,,,,651.63
end_of_pregnancy,ICD9CM,"6,52E+16",,C0156919,"Other specified multiple gestation, delivered, with or without mention of antepartum condition",,,,,65.180.999.999.999.900
end_of_pregnancy,ICD9CM,"6,52E+16",,C0156920,"Other specified multiple gestation, antepartum condition or complication",,,,,65.183.000.000.000.000
end_of_pregnancy,ICD9CM,"6,52E+16",,C0156923,"Unspecified multiple gestation, antepartum condition or complication",,,,,65.192.999.999.999.900
end_of_pregnancy,ICD9CM,652,,C0156924,Malposition and malpresentation of fetus,,,,,652
end_of_pregnancy,ICD9CM,652,,C0156926,"Unstable lie, unspecified as to episode of care or not applicable",,,,,652
end_of_pregnancy,ICD9CM,652.01,,C0156927,Unstable lie - delivered,,,,,652.01
end_of_pregnancy,ICD9CM,652.03,,C0156928,"Unstable lie, antepartum condition or complication",,,,,652.03
end_of_pregnancy,ICD9CM,652.1,,C0156929,Breech or other malpresentation successfully converted to cephalic presentation,,,,,652.1
end_of_pregnancy,ICD9CM,652.1,,C0156930,"Breech or other malpresentation successfully converted to cephalic presentation, unspecified as to episode of care or not applicable",,,,,652.1
end_of_pregnancy,ICD9CM,652.11,,C0156931,"Breech or other malpresentation successfully converted to cephalic presentation, delivered, with or without mention of antepartum condition",,,,,652.11
end_of_pregnancy,ICD9CM,652.13,,C0156932,"Breech or other malpresentation successfully converted to cephalic presentation, antepartum condition or complication",,,,,652.13
end_of_pregnancy,ICD9CM,"6,52E+16",,C0156933,"Breech presentation without mention of version, unspecified as to episode of care or not applicable",,,,,65.220.000.000.000.000
end_of_pregnancy,ICD9CM,652.21,,C0156934,"Breech presentation without mention of version, delivered, with or without mention of antepartum condition",,,,,652.21
end_of_pregnancy,ICD9CM,652.23,,C0156935,"Breech presentation without mention of version, antepartum condition or complication",,,,,652.23
end_of_pregnancy,ICD9CM,"6,52E+16",,C0156936,Transverse OR oblique presentation of fetus,,,,,65.229.999.999.999.900
end_of_pregnancy,ICD9CM,652.4,,C0156940,Face OR brow presentation of fetus,,,,,652.4
end_of_pregnancy,ICD9CM,652.4,,C0156941,"Face or brow presentation, unspecified as to episode of care or not applicable",,,,,652.4
end_of_pregnancy,ICD9CM,652.41,,C0156942,"Face or brow presentation, delivered, with or without mention of antepartum condition",,,,,652.41
end_of_pregnancy,ICD9CM,"6,52E+16",,C0156943,"Face or brow presentation, antepartum condition or complication",,,,,65.242.999.999.999.900
end_of_pregnancy,ICD9CM,652.5,,C0156945,"High head at term, unspecified as to episode of care or not applicable",,,,,652.5
end_of_pregnancy,ICD9CM,652.51,,C0156946,High head at term - delivered,,,,,652.51
end_of_pregnancy,ICD9CM,652.53,,C0156947,"High head at term, antepartum condition or complication",,,,,652.53
end_of_pregnancy,ICD9CM,652.6,,C0156948,Multiple gestation with malpresentation of one fetus or more,,,,,652.6
end_of_pregnancy,ICD9CM,652.6,,C0156949,"Multiple gestation with malpresentation of one fetus or more, unspecified as to episode of care or not applicable",,,,,652.6
end_of_pregnancy,ICD9CM,652.61,,C0156950,"Multiple gestation with malpresentation of one fetus or more, delivered, with or without mention of antepartum condition",,,,,652.61
end_of_pregnancy,ICD9CM,652.63,,C0156951,"Multiple gestation with malpresentation of one fetus or more, antepartum condtion or complication",,,,,652.63
end_of_pregnancy,ICD9CM,"6,53E+16",,C0156953,"Prolapsed arm of fetus, unspecified as to episode of care or not applicable",,,,,65.270.000.000.000.000
end_of_pregnancy,ICD9CM,652.71,,C0156954,"Prolapsed arm of foetus, delivered",,,,,652.71
end_of_pregnancy,ICD9CM,652.73,,C0156955,"Prolapsed arm, antepartum condition or complication",,,,,652.73
end_of_pregnancy,ICD9CM,"6,53E+16",,C0156956,Other specified malposition or malpresentation of fetus,,,,,65.279.999.999.999.900
end_of_pregnancy,ICD9CM,"6,53E+16",,C0156957,"Other specified malposition or malpresentation, unspecified as to episode of care or not applicable",,,,,65.279.999.999.999.900
end_of_pregnancy,ICD9CM,"6,53E+16",,C0156958,"Other specified malposition or malpresentation, delivered, with or without mention of antepartum condition",,,,,65.280.999.999.999.900
end_of_pregnancy,ICD9CM,"6,53E+16",,C0156959,"Other specified malposition or malpresentation, antepartum condition or complication",,,,,65.283.000.000.000.000
end_of_pregnancy,ICD9CM,652.9,,C0156961,"Unspecified malposition or malpresentation, unspecified as to episode of care or not applicable",,,,,652.9
end_of_pregnancy,ICD9CM,652.91,,C0156962,"Unspecified malposition or malpresentation, delivered, with or without mention of antepartum condition",,,,,652.91
end_of_pregnancy,ICD9CM,"6,53E+16",,C0156963,"Unspecified malposition or malpresentation, antepartum condition or complication",,,,,65.292.999.999.999.900
end_of_pregnancy,ICD9CM,653,,C0156964,"Disproportion in pregnancy, labour, and delivery",,,,,653
end_of_pregnancy,ICD9CM,653.01,,C0156967,"Major abnormality of bony pelvis, not further specified, delivered, with or without mention of antepartum condition",,,,,653.01
end_of_pregnancy,ICD9CM,653.03,,C0156968,"Major abnormality of bony pelvis, not further specified, antepartum",,,,,653.03
end_of_pregnancy,ICD9CM,653.11,,C0156971,Generally contracted pelvis - delivered,,,,,653.11
end_of_pregnancy,ICD9CM,653.13,,C0156972,"Generally contracted pelvis, antepartum",,,,,653.13
end_of_pregnancy,ICD9CM,"6,53E+16",,C0156973,"Inlet contraction of pelvis in pregnancy, labour, and delivery",,,,,65.320.000.000.000.000
end_of_pregnancy,ICD9CM,"6,53E+16",,C0156974,"Inlet contraction of pelvis, unspecified as to episode of care or not applicable",,,,,65.320.000.000.000.000
end_of_pregnancy,ICD9CM,653.21,,C0156975,Inlet pelvic contraction - delivered,,,,,653.21
end_of_pregnancy,ICD9CM,653.23,,C0156976,"Inlet contraction of pelvis, antepartum",,,,,653.23
end_of_pregnancy,ICD9CM,"6,53E+16",,C0156977,"Outlet contraction of pelvis in pregnancy, labour, and delivery",,,,,65.329.999.999.999.900
end_of_pregnancy,ICD9CM,"6,53E+16",,C0156978,"Outlet contraction of pelvis, unspecified as to episode of care or not applicable",,,,,65.329.999.999.999.900
end_of_pregnancy,ICD9CM,"6,53E+16",,C0156979,Outlet pelvic contraction - delivered,,,,,65.330.999.999.999.900
end_of_pregnancy,ICD9CM,"6,53E+16",,C0156980,"Outlet contraction of pelvis, antepartum condition or complication",,,,,65.333.000.000.000.000
end_of_pregnancy,ICD9CM,653.41,,C0156982,"Foetopelvic disproportion, delivered",,,,,653.41
end_of_pregnancy,ICD9CM,653.51,,C0156986,"Unusually large foetus causing disproportion, delivered",,,,,653.51
end_of_pregnancy,ICD9CM,653.53,,C0156987,"Unusually large foetus causing disproportion, antepartum",,,,,653.53
end_of_pregnancy,ICD9CM,653.61,,C0156990,"Hydrocephalic foetus causing disproportion, delivered",,,,,653.61
end_of_pregnancy,ICD9CM,653.63,,C0156991,"Hydrocephalic foetus causing disproportion, antepartum",,,,,653.63
end_of_pregnancy,ICD9CM,653.71,,C0156994,Other fetal abnormality causing disproportion - delivered,,,,,653.71
end_of_pregnancy,ICD9CM,653.73,,C0156995,"Other fetal abnormality causing disproportion, antepartum condition or complication",,,,,653.73
end_of_pregnancy,ICD9CM,"6,54E+16",,C0156996,"Disproportion of other origin in pregnancy, labour, and delivery",,,,,65.379.999.999.999.900
end_of_pregnancy,ICD9CM,"6,54E+16",,C0156997,"Disproportion of other origin, unspecified as to episode of care or not applicable",,,,,65.379.999.999.999.900
end_of_pregnancy,ICD9CM,"6,54E+16",,C0156998,"Disproportion of other origin, delivered, with or without mention of antepartum condition",,,,,65.380.999.999.999.900
end_of_pregnancy,ICD9CM,"6,54E+16",,C0156999,"Disproportion of other origin, antepartum condition or complication",,,,,65.383.000.000.000.000
end_of_pregnancy,ICD9CM,653.9,,C0157000,"Unspecified disproportion in pregnancy, labour, and delivery",,,,,653.9
end_of_pregnancy,ICD9CM,653.9,,C0157001,"Unspecified disproportion, unspecified as to episode of care or not applicable",,,,,653.9
end_of_pregnancy,ICD9CM,653.91,,C0157002,"Unspecified disproportion, delivered, with or without mention of antepartum condition",,,,,653.91
end_of_pregnancy,ICD9CM,"6,54E+16",,C0157003,"Unspecified disproportion, antepartum condition or complication",,,,,65.392.999.999.999.900
end_of_pregnancy,ICD9CM,654,,C0157004,"Abnormality of organs and soft tissues of pelvis complicating pregnancy, childbirth, or the puerperium",,,,,654
end_of_pregnancy,ICD9CM,654,,C0157005,"Congenital abnormalities of uterus complicating pregnancy, childbirth, or the puerperium",,,,,654
end_of_pregnancy,ICD9CM,654.02,,C0157008,"Congenital abnormalities of uterus, delivered, with mention of postpartum complication",,,,,654.02
end_of_pregnancy,ICD9CM,654.03,,C0157009,"Congenital abnormalities of uterus, antepartum condition or complication",,,,,654.03
end_of_pregnancy,ICD9CM,654.04,,C0157010,"Congenital abnormalities of uterus, postpartum condition or complication",,,,,654.04
end_of_pregnancy,ICD9CM,654.1,,C0157011,"Tumours of body of uterus complicating pregnancy, childbirth, or the puerperium",,,,,654.1
end_of_pregnancy,ICD9CM,654.11,,C0157013,"Tumors of body of uterus, delivered, with or without mention of antepartum condition",,,,,654.11
end_of_pregnancy,ICD9CM,654.12,,C0157014,"Tumors of body of uterus, delivered, with mention of postpartum complication",,,,,654.12
end_of_pregnancy,ICD9CM,654.13,,C0157015,"Tumors of body of uterus, antepartum condition or complication",,,,,654.13
end_of_pregnancy,ICD9CM,654.14,,C0157016,"Tumors of body of uterus, postpartum condition or complication",,,,,654.14
end_of_pregnancy,ICD9CM,"6,54E+16",,C0157023,Retroverted incarcerated gravid uterus - delivered,,,,,65.430.999.999.999.900
end_of_pregnancy,ICD9CM,"6,54E+16",,C0157024,"Retroverted and incarcerated gravid uterus, delivered, with mention of postpartum complication",,,,,65.432.000.000.000.000
end_of_pregnancy,ICD9CM,"6,54E+16",,C0157025,"Retroverted and incarcerated gravid uterus, antepartum",,,,,65.433.000.000.000.000
end_of_pregnancy,ICD9CM,654.34,,C0157026,"Retroverted and incarcerated gravid uterus, postpartum",,,,,654.34
end_of_pregnancy,ICD9CM,654.41,,C0157029,"Other abnormalities in shape or position of gravid uterus and of neighboring structures, delivered, with or without mention of antepartum condition",,,,,654.41
end_of_pregnancy,ICD9CM,"6,54E+16",,C0157030,"Other abnormalities in shape or position of gravid uterus and of neighboring structures, delivered, with mention of postpartum complication",,,,,65.441.999.999.999.900
end_of_pregnancy,ICD9CM,"6,54E+16",,C0157031,"Other abnormalities in shape or position of gravid uterus and of neighboring structures, antepartum condition or complication",,,,,65.442.999.999.999.900
end_of_pregnancy,ICD9CM,"6,54E+16",,C0157032,"Other abnormalities in shape or position of gravid uterus and of neighboring structures, postpartum condition or complication",,,,,65.444.000.000.000.000
end_of_pregnancy,ICD9CM,654.5,,C0157033,"Cervical incompetence complicating pregnancy, childbirth, or the puerperium",,,,,654.5
end_of_pregnancy,ICD9CM,654.52,,C0157036,"Cervical incompetence, delivered, with mention of postpartum complication",,,,,654.52
end_of_pregnancy,ICD9CM,654.53,,C0157037,"Cervical incompetence, antepartum condition or complication",,,,,654.53
end_of_pregnancy,ICD9CM,654.54,,C0157038,"Cervical incompetence, postpartum condition or complication",,,,,654.54
end_of_pregnancy,ICD9CM,654.6,,C0157039,"Other congenital or acquired abnormality of cervix complicating pregnancy, childbirth, or the puerperium",,,,,654.6
end_of_pregnancy,ICD9CM,654.61,,C0157041,"Other congenital or acquired abnormality of cervix, delivered, with or without mention of antepartum condition",,,,,654.61
end_of_pregnancy,ICD9CM,654.62,,C0157042,"Other congenital or acquired abnormality of cervix, delivered, with mention of postpartum complication",,,,,654.62
end_of_pregnancy,ICD9CM,654.63,,C0157043,"Other congenital or acquired abnormality of cervix, antepartum condition or complication",,,,,654.63
end_of_pregnancy,ICD9CM,654.64,,C0157044,"Other congenital or acquired abnormality of cervix, postpartum condition or complication",,,,,654.64
end_of_pregnancy,ICD9CM,"6,55E+16",,C0157045,"Congenital or acquired abnormality of vagina complicating pregnancy, childbirth, or the puerperium",,,,,65.470.000.000.000.000
end_of_pregnancy,ICD9CM,654.71,,C0157047,"Congenital or acquired abnormality of vagina, delivered, with or without mention of antepartum condition",,,,,654.71
end_of_pregnancy,ICD9CM,654.72,,C0157048,"Congenital or acquired abnormality of vagina, delivered, with mention of postpartum complication",,,,,654.72
end_of_pregnancy,ICD9CM,654.73,,C0157049,"Congenital or acquired abnormality of vagina, antepartum condition or complication",,,,,654.73
end_of_pregnancy,ICD9CM,654.74,,C0157050,"Congenital or acquired abnormality of vagina, postpartum condition or complication",,,,,654.74
end_of_pregnancy,ICD9CM,"6,55E+16",,C0157051,"Congenital or acquired abnormality of vulva complicating pregnancy, childbirth, or the puerperium",,,,,65.479.999.999.999.900
end_of_pregnancy,ICD9CM,"6,55E+16",,C0157053,"Congenital or acquired abnormality of vulva, delivered, with or without mention of antepartum condition",,,,,65.480.999.999.999.900
end_of_pregnancy,ICD9CM,"6,55E+16",,C0157054,"Congenital or acquired abnormality of vulva, delivered, with mention of postpartum complication",,,,,65.482.000.000.000.000
